Laser delay,Gate width,Counts
14.5,0.1999999999999993,-3116.0
14.5,0.09999999999999964,-3442.0
14.55,0.0,-3615.0
14.55,-0.09999999999999964,-3770.0
14.55,3.0,132125.0
14.55,2.9000000000000004,114811.0
14.55,2.8,100242.0
14.55,2.7,88088.0
14.55,2.5999999999999996,76915.0
14.55,2.5,64677.0
14.55,2.4000000000000004,56212.0
14.55,2.3,48705.0
14.55,2.2,42591.0
14.55,2.0999999999999996,36683.0
14.55,2.0,31218.0
14.55,1.9000000000000004,25705.0
14.55,1.8000000000000007,21083.0
14.55,1.6999999999999993,17137.0
14.55,1.5999999999999996,13668.0
14.55,1.5,10199.0
14.55,1.4000000000000004,7940.0
14.55,1.3000000000000007,5716.0
14.55,1.1999999999999993,4316.0
14.55,1.0999999999999996,2977.0
14.55,1.0,2024.0
14.55,0.9000000000000004,942.0
14.55,0.8000000000000007,324.0
14.55,0.6999999999999993,-403.0
14.55,0.5999999999999996,-1101.0
14.55,0.5,-1671.0
14.55,0.40000000000000036,-2339.0
14.55,0.3000000000000007,-2593.0
14.55,0.1999999999999993,-3142.0
14.55,0.09999999999999964,-3248.0
14.6,0.0,-3613.0
14.6,-0.09999999999999964,-3781.0
14.6,3.0,144772.0
14.6,2.9000000000000004,124303.0
14.6,2.8,108516.0
14.6,2.7,95407.0
14.6,2.5999999999999996,82357.0
14.6,2.5,70359.0
14.6,2.4000000000000004,60476.0
14.6,2.3,52479.0
14.6,2.2,45540.0
14.6,2.0999999999999996,39132.0
14.6,2.0,33510.0
14.6,1.9000000000000004,27764.0
14.6,1.8000000000000007,23127.0
14.6,1.6999999999999993,18517.0
14.6,1.5999999999999996,14555.0
14.6,1.5,11241.0
14.6,1.4000000000000004,8497.0
14.6,1.3000000000000007,6173.0
14.6,1.1999999999999993,4504.0
14.6,1.0999999999999996,3588.0
14.6,1.0,2463.0
14.6,0.9000000000000004,1242.0
14.6,0.8000000000000007,430.0
14.6,0.6999999999999993,-139.0
14.6,0.5999999999999996,-908.0
14.6,0.5,-1486.0
14.6,0.40000000000000036,-2247.0
14.6,0.3000000000000007,-2598.0
14.6,0.1999999999999993,-3071.0
14.6,0.09999999999999964,-3319.0
14.65,0.0,-3615.0
14.65,-0.09999999999999964,-3894.0
14.65,3.0,156094.0
14.65,2.9000000000000004,134226.0
14.65,2.8,117152.0
14.65,2.7,102709.0
14.65,2.5999999999999996,89109.0
14.65,2.5,75670.0
14.65,2.4000000000000004,65686.0
14.65,2.3,56669.0
14.65,2.2,49599.0
14.65,2.0999999999999996,42525.0
14.65,2.0,35999.0
14.65,1.9000000000000004,30278.0
14.65,1.8000000000000007,24666.0
14.65,1.6999999999999993,20075.0
14.65,1.5999999999999996,15715.0
14.65,1.5,12309.0
14.65,1.4000000000000004,9318.0
14.65,1.3000000000000007,6861.0
14.65,1.1999999999999993,5119.0
14.65,1.0999999999999996,3881.0
14.65,1.0,2671.0
14.65,0.9000000000000004,1646.0
14.65,0.8000000000000007,783.0
14.65,0.6999999999999993,-230.0
14.65,0.5999999999999996,-834.0
14.65,0.5,-1572.0
14.65,0.40000000000000036,-2120.0
14.65,0.3000000000000007,-2616.0
14.65,0.1999999999999993,-2944.0
14.65,0.09999999999999964,-3442.0
14.7,0.0,-3505.0
14.7,-0.09999999999999964,-3815.0
14.7,3.0,168455.0
14.7,2.9000000000000004,144809.0
14.7,2.8,126602.0
14.7,2.7,110795.0
14.7,2.5999999999999996,96304.0
14.7,2.5,82010.0
14.7,2.4000000000000004,71342.0
14.7,2.3,61821.0
14.7,2.2,53193.0
14.7,2.0999999999999996,42357.0
14.7,2.0,38262.0
14.7,1.9000000000000004,32768.0
14.7,1.8000000000000007,26794.0
14.7,1.6999999999999993,21824.0
14.7,1.5999999999999996,16808.0
14.7,1.5,13361.0
14.7,1.4000000000000004,10251.0
14.7,1.3000000000000007,7664.0
14.7,1.1999999999999993,5712.0
14.7,1.0999999999999996,4491.0
14.7,1.0,2889.0
14.7,0.9000000000000004,1843.0
14.7,0.8000000000000007,1029.0
14.7,0.6999999999999993,128.0
14.7,0.5999999999999996,-812.0
14.7,0.5,-1449.0
14.7,0.40000000000000036,-1961.0
14.7,0.3000000000000007,-2547.0
14.7,0.1999999999999993,-2979.0
14.7,0.09999999999999964,-3214.0
14.75,0.0,-3618.0
14.75,-0.09999999999999964,-3777.0
14.75,3.0,183124.0
14.75,2.9000000000000004,158025.0
14.75,2.8,137712.0
14.75,2.7,119468.0
14.75,2.5999999999999996,103461.0
14.75,2.5,88788.0
14.75,2.4000000000000004,76807.0
14.75,2.3,66717.0
14.75,2.2,57577.0
14.75,2.0999999999999996,49690.0
14.75,2.0,42062.0
14.75,1.9000000000000004,35384.0
14.75,1.8000000000000007,29022.0
14.75,1.6999999999999993,23327.0
14.75,1.5999999999999996,18234.0
14.75,1.5,14226.0
14.75,1.4000000000000004,10728.0
14.75,1.3000000000000007,8435.0
14.75,1.1999999999999993,6237.0
14.75,1.0999999999999996,4424.0
14.75,1.0,3250.0
14.75,0.9000000000000004,2242.0
14.75,0.8000000000000007,1254.0
14.75,0.6999999999999993,86.0
14.75,0.5999999999999996,-633.0
14.75,0.5,-1350.0
14.75,0.40000000000000036,-2119.0
14.75,0.3000000000000007,-2411.0
14.75,0.1999999999999993,-2798.0
14.75,0.09999999999999964,-3267.0
14.8,0.0,-3458.0
14.8,-0.09999999999999964,-3854.0
14.8,3.0,198008.0
14.8,2.9000000000000004,169674.0
14.8,2.8,147735.0
14.8,2.7,129592.0
14.8,2.5999999999999996,112745.0
14.8,2.5,95695.0
14.8,2.4000000000000004,83241.0
14.8,2.3,72278.0
14.8,2.2,61577.0
